carnet,nombre,carrera,departamento,promedio
EST000061,Estudiante 61,Contaduría,La Libertad,8.55
EST000062,Estudiante 62,Administración,La Libertad,5.97
EST000063,Estudiante 63,Administración,San Salvador,6.47
EST000064,Estudiante 64,Arquitectura,La Libertad,5.36
EST000065,Estudiante 65,Administración,San Miguel,7.53
EST000066,Estudiante 66,Ingeniería Industrial,La Libertad,8.82
EST000067,Estudiante 67,Arquitectura,La Libertad,9.94
EST000068,Estudiante 68,Ingeniería Industrial,Sonsonate,9.33
EST000069,Estudiante 69,Contaduría,Sonsonate,5.96
EST000070,Estudiante 70,Ingeniería Industrial,San Salvador,6.02
EST000071,Estudiante 71,Ingeniería Industrial,La Libertad,5.12
EST000072,Estudiante 72,Contaduría,Santa Ana,8.19
EST000073,Estudiante 73,Administración,La Libertad,8.68
EST000074,Estudiante 74,Ingeniería en Sistemas,San Miguel,7.26
EST000075,Estudiante 75,Ingeniería en Sistemas,San Miguel,9.16
EST000076,Estudiante 76,Administración,La Libertad,7.01
EST000077,Estudiante 77,Arquitectura,Santa Ana,6.37
EST000078,Estudiante 78,Administración,San Miguel,9.68
EST000079,Estudiante 79,Contaduría,Santa Ana,9.64
EST000080,Estudiante 80,Arquitectura,Sonsonate,5.01
EST000081,Estudiante 81,Ingeniería en Sistemas,Sonsonate,9.32
EST000082,Estudiante 82,Ingeniería Industrial,La Libertad,8.05
EST000083,Estudiante 83,Ingeniería en Sistemas,Santa Ana,6.77
EST000084,Estudiante 84,Administración,La Libertad,9.07
EST000085,Estudiante 85,Administración,San Salvador,7.45
EST000086,Estudiante 86,Administración,Santa Ana,8.39
EST000087,Estudiante 87,Arquitectura,La Libertad,7.18
EST000088,Estudiante 88,Contaduría,Santa Ana,8.03
EST000089,Estudiante 89,Ingeniería en Sistemas,Sonsonate,5.97
EST000090,Estudiante 90,Arquitectura,San Salvador,9.27
EST000091,Estudiante 91,Ingeniería Industrial,San Miguel,8.04
EST000092,Estudiante 92,Arquitectura,La Libertad,5.51
EST000093,Estudiante 93,Administración,Santa Ana,7.59
EST000094,Estudiante 94,Administración,La Libertad,7.61
EST000095,Estudiante 95,Administración,San Miguel,9.82
EST000096,Estudiante 96,Administración,La Libertad,9.86
EST000097,Estudiante 97,Contaduría,La Libertad,9.93
EST000098,Estudiante 98,Ingeniería Industrial,San Miguel,5.42
EST000099,Estudiante 99,Ingeniería en Sistemas,La Libertad,8.23
EST000100,Estudiante 100,Ingeniería en Sistemas,San Salvador,8.83
EST000101,Estudiante 101,Ingeniería en Sistemas,Santa Ana,7.11
EST000102,Estudiante 102,Ingeniería en Sistemas,San Miguel,7.95
EST000103,Estudiante 103,Ingeniería Industrial,Sonsonate,6.38
EST000104,Estudiante 104,Administración,Santa Ana,7.53
EST000105,Estudiante 105,Arquitectura,Sonsonate,8.33
EST000106,Estudiante 106,Ingeniería en Sistemas,Santa Ana,9.08
EST000107,Estudiante 107,Ingeniería Industrial,San Salvador,6.56
EST000108,Estudiante 108,Administración,Santa Ana,5.74
EST000109,Estudiante 109,Administración,Santa Ana,6.54
EST000110,Estudiante 110,Ingeniería en Sistemas,San Miguel,5.97
EST000111,Estudiante 111,Administración,San Miguel,7.4
EST000112,Estudiante 112,Ingeniería en Sistemas,La Libertad,6.92
EST000113,Estudiante 113,Arquitectura,Sonsonate,8.88
EST000114,Estudiante 114,Contaduría,Sonsonate,8.46
EST000115,Estudiante 115,Contaduría,Sonsonate,6.94
EST000116,Estudiante 116,Contaduría,La Libertad,8.79
EST000117,Estudiante 117,Contaduría,Santa Ana,8.87
EST000118,Estudiante 118,Contaduría,San Salvador,6.25
EST000119,Estudiante 119,Contaduría,Sonsonate,7.0
EST000120,Estudiante 120,Ingeniería en Sistemas,La Libertad,5.74
EST000121,Estudiante 121,Arquitectura,San Salvador,9.97
EST000122,Estudiante 122,Ingeniería Industrial,Santa Ana,8.83
EST000123,Estudiante 123,Administración,La Libertad,6.37
EST000124,Estudiante 124,Ingeniería Industrial,San Miguel,5.7
EST000125,Estudiante 125,Administración,Sonsonate,9.39
EST000126,Estudiante 126,Ingeniería en Sistemas,Sonsonate,9.18
EST000127,Estudiante 127,Contaduría,San Salvador,8.55
EST000128,Estudiante 128,Ingeniería Industrial,San Salvador,7.21
EST000129,Estudiante 129,Contaduría,Santa Ana,5.45
EST000130,Estudiante 130,Ingeniería Industrial,La Libertad,9.26
EST000131,Estudiante 131,Contaduría,Sonsonate,7.3
EST000132,Estudiante 132,Administración,La Libertad,9.22
EST000133,Estudiante 133,Contaduría,Santa Ana,7.15
EST000134,Estudiante 134,Arquitectura,San Miguel,5.09
EST000135,Estudiante 135,Ingeniería en Sistemas,San Salvador,7.01
EST000136,Estudiante 136,Arquitectura,San Miguel,7.58
EST000137,Estudiante 137,Contaduría,La Libertad,6.52
EST000138,Estudiante 138,Ingeniería Industrial,La Libertad,7.08
EST000139,Estudiante 139,Ingeniería en Sistemas,La Libertad,6.53
EST000140,Estudiante 140,Contaduría,San Miguel,7.47
EST000141,Estudiante 141,Administración,San Miguel,7.31
EST000142,Estudiante 142,Arquitectura,San Miguel,5.09
EST000143,Estudiante 143,Arquitectura,San Salvador,8.71
EST000144,Estudiante 144,Contaduría,San Miguel,7.1
EST000145,Estudiante 145,Ingeniería en Sistemas,Sonsonate,9.68
EST000146,Estudiante 146,Contaduría,San Miguel,9.81
EST000147,Estudiante 147,Contaduría,Santa Ana,5.66
EST000148,Estudiante 148,Arquitectura,San Salvador,9.59
EST000149,Estudiante 149,Contaduría,San Salvador,9.58
EST000150,Estudiante 150,Ingeniería en Sistemas,San Miguel,5.58
EST000151,Estudiante 151,Arquitectura,La Libertad,7.96
EST000152,Estudiante 152,Contaduría,San Salvador,6.45
EST000153,Estudiante 153,Ingeniería en Sistemas,Sonsonate,7.09
EST000154,Estudiante 154,Contaduría,Santa Ana,6.39
EST000155,Estudiante 155,Administración,Santa Ana,8.62
EST000156,Estudiante 156,Administración,Santa Ana,6.09
EST000157,Estudiante 157,Administración,Sonsonate,8.87
EST000158,Estudiante 158,Ingeniería en Sistemas,La Libertad,8.27
EST000159,Estudiante 159,Arquitectura,San Miguel,7.54
EST000160,Estudiante 160,Contaduría,Santa Ana,5.43
EST000161,Estudiante 161,Contaduría,La Libertad,8.45
EST000162,Estudiante 162,Administración,San Miguel,5.44
EST000163,Estudiante 163,Ingeniería Industrial,Sonsonate,9.59
EST000164,Estudiante 164,Contaduría,Sonsonate,8.96
EST000165,Estudiante 165,Contaduría,Sonsonate,9.57
EST000166,Estudiante 166,Administración,San Salvador,5.62
EST000167,Estudiante 167,Contaduría,San Miguel,5.34
EST000168,Estudiante 168,Contaduría,La Libertad,8.47
EST000169,Estudiante 169,Contaduría,La Libertad,6.96
EST000170,Estudiante 170,Ingeniería en Sistemas,San Miguel,6.47
EST000171,Estudiante 171,Ingeniería en Sistemas,Sonsonate,7.99
EST000172,Estudiante 172,Contaduría,Sonsonate,7.78
EST000173,Estudiante 173,Contaduría,Sonsonate,9.23
EST000174,Estudiante 174,Ingeniería Industrial,San Miguel,6.42
EST000175,Estudiante 175,Contaduría,Sonsonate,7.46
EST000176,Estudiante 176,Contaduría,San Miguel,9.57
EST000177,Estudiante 177,Contaduría,Santa Ana,9.37
EST000178,Estudiante 178,Ingeniería en Sistemas,Sonsonate,8.25
EST000179,Estudiante 179,Administración,San Salvador,5.77
EST000180,Estudiante 180,Arquitectura,Sonsonate,8.78
EST000181,Estudiante 181,Ingeniería Industrial,San Salvador,8.94
EST000182,Estudiante 182,Ingeniería Industrial,La Libertad,8.54
EST000183,Estudiante 183,Contaduría,San Salvador,7.4
EST000184,Estudiante 184,Contaduría,San Miguel,6.75
EST000185,Estudiante 185,Administración,San Miguel,7.48
EST000186,Estudiante 186,Administración,San Miguel,9.5
EST000187,Estudiante 187,Contaduría,San Salvador,8.03
EST000188,Estudiante 188,Administración,Santa Ana,9.44
EST000189,Estudiante 189,Ingeniería Industrial,Sonsonate,5.62
EST000190,Estudiante 190,Contaduría,San Miguel,5.02
EST000191,Estudiante 191,Arquitectura,Sonsonate,9.65
EST000192,Estudiante 192,Arquitectura,San Miguel,7.14
EST000193,Estudiante 193,Administración,Sonsonate,5.94
EST000194,Estudiante 194,Arquitectura,Santa Ana,9.16
EST000195,Estudiante 195,Ingeniería en Sistemas,San Salvador,6.53
EST000196,Estudiante 196,Ingeniería en Sistemas,San Miguel,7.78
EST000197,Estudiante 197,Ingeniería en Sistemas,Santa Ana,9.98
EST000198,Estudiante 198,Administración,San Miguel,5.77
EST000199,Estudiante 199,Ingeniería en Sistemas,San Miguel,8.88
EST000200,Estudiante 200,Ingeniería Industrial,Sonsonate,5.98
EST000201,Estudiante 201,Ingeniería en Sistemas,San Miguel,8.43
EST000202,Estudiante 202,Administración,La Libertad,9.83
EST000203,Estudiante 203,Administración,San Miguel,9.89
EST000204,Estudiante 204,Arquitectura,Sonsonate,9.1
EST000205,Estudiante 205,Ingeniería Industrial,San Miguel,7.99
EST000206,Estudiante 206,Ingeniería Industrial,San Miguel,5.03
EST000207,Estudiante 207,Ingeniería en Sistemas,San Miguel,7.38
EST000208,Estudiante 208,Contaduría,Santa Ana,9.05
EST000209,Estudiante 209,Contaduría,San Miguel,9.63
EST000210,Estudiante 210,Administración,La Libertad,9.9
EST000211,Estudiante 211,Contaduría,San Salvador,9.77
EST000212,Estudiante 212,Arquitectura,San Miguel,7.79
EST000213,Estudiante 213,Contaduría,Santa Ana,5.01
EST000214,Estudiante 214,Arquitectura,San Miguel,5.67
EST000215,Estudiante 215,Contaduría,La Libertad,7.62
EST000216,Estudiante 216,Administración,San Miguel,5.76
EST000217,Estudiante 217,Ingeniería Industrial,La Libertad,8.23
EST000218,Estudiante 218,Administración,San Salvador,7.8
EST000219,Estudiante 219,Contaduría,Sonsonate,5.7
EST000220,Estudiante 220,Ingeniería en Sistemas,San Miguel,8.82
EST000221,Estudiante 221,Ingeniería Industrial,San Salvador,6.1
EST000222,Estudiante 222,Ingeniería en Sistemas,Santa Ana,6.66
EST000223,Estudiante 223,Contaduría,Santa Ana,8.65
EST000224,Estudiante 224,Ingeniería en Sistemas,Santa Ana,5.13
EST000225,Estudiante 225,Administración,San Salvador,5.67
EST000226,Estudiante 226,Ingeniería en Sistemas,La Libertad,9.64
EST000227,Estudiante 227,Administración,Santa Ana,7.03
EST000228,Estudiante 228,Arquitectura,Santa Ana,7.62
EST000229,Estudiante 229,Contaduría,San Miguel,9.85
EST000230,Estudiante 230,Administración,San Miguel,9.92
EST000231,Estudiante 231,Ingeniería Industrial,Santa Ana,6.06
EST000232,Estudiante 232,Arquitectura,San Salvador,9.66
EST000233,Estudiante 233,Arquitectura,San Miguel,5.54
EST000234,Estudiante 234,Arquitectura,Sonsonate,8.57
EST000235,Estudiante 235,Contaduría,Sonsonate,5.74
EST000236,Estudiante 236,Arquitectura,San Salvador,7.37
EST000237,Estudiante 237,Ingeniería en Sistemas,La Libertad,7.52
EST000238,Estudiante 238,Ingeniería Industrial,La Libertad,8.67
EST000239,Estudiante 239,Contaduría,Santa Ana,9.08
EST000240,Estudiante 240,Arquitectura,Sonsonate,6.42
EST000241,Estudiante 241,Ingeniería en Sistemas,La Libertad,9.06
EST000242,Estudiante 242,Administración,Santa Ana,9.17
EST000243,Estudiante 243,Ingeniería en Sistemas,La Libertad,9.57
EST000244,Estudiante 244,Ingeniería en Sistemas,Sonsonate,7.0
EST000245,Estudiante 245,Administración,Sonsonate,6.09
EST000246,Estudiante 246,Ingeniería en Sistemas,Sonsonate,6.77
EST000247,Estudiante 247,Arquitectura,Sonsonate,8.02
EST000248,Estudiante 248,Contaduría,San Salvador,6.46
EST000249,Estudiante 249,Contaduría,San Salvador,7.96
EST000250,Estudiante 250,Ingeniería Industrial,San Salvador,9.84
EST000251,Estudiante 251,Administración,San Salvador,9.94
EST000252,Estudiante 252,Contaduría,San Salvador,7.86
EST000253,Estudiante 253,Contaduría,La Libertad,8.68
EST000254,Estudiante 254,Ingeniería en Sistemas,Sonsonate,7.37
EST000255,Estudiante 255,Administración,Sonsonate,9.08
EST000256,Estudiante 256,Contaduría,San Salvador,5.77
EST000257,Estudiante 257,Arquitectura,La Libertad,5.92
EST000258,Estudiante 258,Administración,San Salvador,7.52
EST000259,Estudiante 259,Administración,Santa Ana,8.78
EST000260,Estudiante 260,Ingeniería Industrial,Sonsonate,7.41
EST000261,Estudiante 261,Administración,Sonsonate,9.21
EST000262,Estudiante 262,Ingeniería Industrial,Sonsonate,5.32
EST000263,Estudiante 263,Contaduría,San Salvador,5.85
EST000264,Estudiante 264,Ingeniería en Sistemas,La Libertad,7.78
EST000265,Estudiante 265,Administración,Santa Ana,5.34
EST000266,Estudiante 266,Ingeniería Industrial,San Miguel,9.27
EST000267,Estudiante 267,Administración,Santa Ana,6.98
EST000268,Estudiante 268,Ingeniería en Sistemas,San Salvador,5.29
EST000269,Estudiante 269,Ingeniería en Sistemas,Santa Ana,7.38
EST000270,Estudiante 270,Ingeniería en Sistemas,Sonsonate,5.79
EST000271,Estudiante 271,Ingeniería en Sistemas,Santa Ana,8.13
EST000272,Estudiante 272,Ingeniería en Sistemas,Sonsonate,6.04
EST000273,Estudiante 273,Administración,La Libertad,8.61
EST000274,Estudiante 274,Administración,San Miguel,9.58
EST000275,Estudiante 275,Arquitectura,Santa Ana,5.42
EST000276,Estudiante 276,Ingeniería en Sistemas,Santa Ana,6.93
EST000277,Estudiante 277,Ingeniería Industrial,San Salvador,8.38
EST000278,Estudiante 278,Ingeniería Industrial,Santa Ana,5.73
EST000279,Estudiante 279,Contaduría,Sonsonate,6.14
EST000280,Estudiante 280,Ingeniería Industrial,Sonsonate,5.6
EST000281,Estudiante 281,Administración,Santa Ana,6.21
EST000282,Estudiante 282,Contaduría,San Salvador,9.0
EST000283,Estudiante 283,Arquitectura,La Libertad,7.54
EST000284,Estudiante 284,Ingeniería en Sistemas,Santa Ana,9.87
EST000285,Estudiante 285,Ingeniería en Sistemas,Santa Ana,5.54
EST000286,Estudiante 286,Contaduría,San Salvador,5.62
EST000287,Estudiante 287,Arquitectura,Santa Ana,7.79
EST000288,Estudiante 288,Ingeniería Industrial,La Libertad,6.64
EST000289,Estudiante 289,Administración,Sonsonate,6.45
EST000290,Estudiante 290,Administración,San Salvador,7.42
EST000291,Estudiante 291,Ingeniería Industrial,San Salvador,6.72
EST000292,Estudiante 292,Contaduría,Santa Ana,7.23
EST000293,Estudiante 293,Contaduría,San Salvador,9.71
EST000294,Estudiante 294,Ingeniería Industrial,La Libertad,8.26
EST000295,Estudiante 295,Administración,Santa Ana,8.71
EST000296,Estudiante 296,Ingeniería Industrial,Santa Ana,6.46
EST000297,Estudiante 297,Ingeniería en Sistemas,La Libertad,6.7
EST000298,Estudiante 298,Arquitectura,Santa Ana,9.06
EST000299,Estudiante 299,Ingeniería en Sistemas,Santa Ana,7.51
EST000300,Estudiante 300,Arquitectura,Santa Ana,9.38
EST000301,Estudiante 301,Ingeniería en Sistemas,San Miguel,9.74
EST000302,Estudiante 302,Administración,Sonsonate,8.36
EST000303,Estudiante 303,Ingeniería Industrial,La Libertad,9.05
EST000304,Estudiante 304,Contaduría,San Salvador,8.74
EST000305,Estudiante 305,Ingeniería en Sistemas,Santa Ana,8.09
EST000306,Estudiante 306,Contaduría,San Miguel,8.3
EST000307,Estudiante 307,Arquitectura,La Libertad,5.57
EST000308,Estudiante 308,Ingeniería Industrial,Sonsonate,9.6
EST000309,Estudiante 309,Contaduría,San Miguel,5.52
EST000310,Estudiante 310,Administración,Santa Ana,7.56
EST000311,Estudiante 311,Contaduría,San Miguel,7.1
EST000312,Estudiante 312,Contaduría,Santa Ana,6.11
EST000313,Estudiante 313,Administración,Santa Ana,8.59
EST000314,Estudiante 314,Contaduría,La Libertad,7.13
EST000315,Estudiante 315,Arquitectura,San Miguel,6.71
EST000316,Estudiante 316,Ingeniería Industrial,San Salvador,5.33
EST000317,Estudiante 317,Ingeniería Industrial,Santa Ana,9.77
EST000318,Estudiante 318,Administración,San Salvador,6.63
EST000319,Estudiante 319,Administración,San Salvador,7.19
EST000320,Estudiante 320,Administración,Sonsonate,7.32
EST000321,Estudiante 321,Ingeniería en Sistemas,Sonsonate,9.1
EST000322,Estudiante 322,Contaduría,Sonsonate,6.88
EST000323,Estudiante 323,Ingeniería en Sistemas,Santa Ana,7.52
EST000324,Estudiante 324,Contaduría,Santa Ana,6.71
EST000325,Estudiante 325,Contaduría,Santa Ana,5.18
EST000326,Estudiante 326,Arquitectura,Sonsonate,8.75
EST000327,Estudiante 327,Contaduría,San Miguel,6.96
EST000328,Estudiante 328,Arquitectura,La Libertad,5.0
EST000329,Estudiante 329,Arquitectura,San Miguel,8.86
EST000330,Estudiante 330,Ingeniería en Sistemas,San Miguel,5.21
EST000331,Estudiante 331,Ingeniería en Sistemas,Sonsonate,7.37
EST000332,Estudiante 332,Ingeniería Industrial,San Salvador,5.5
EST000333,Estudiante 333,Ingeniería Industrial,San Salvador,7.59
EST000334,Estudiante 334,Ingeniería en Sistemas,San Salvador,8.84
EST000335,Estudiante 335,Ingeniería Industrial,San Miguel,9.15
EST000336,Estudiante 336,Ingeniería Industrial,San Salvador,5.77
EST000337,Estudiante 337,Administración,Santa Ana,6.45
EST000338,Estudiante 338,Administración,Sonsonate,7.88
EST000339,Estudiante 339,Ingeniería en Sistemas,San Salvador,5.16
EST000340,Estudiante 340,Contaduría,Santa Ana,8.59
EST000341,Estudiante 341,Arquitectura,Santa Ana,7.17
EST000342,Estudiante 342,Administración,Santa Ana,8.04
EST000343,Estudiante 343,Arquitectura,San Salvador,6.82
EST000344,Estudiante 344,Arquitectura,San Miguel,6.8
EST000345,Estudiante 345,Ingeniería en Sistemas,San Miguel,5.68
EST000346,Estudiante 346,Administración,San Miguel,7.31
EST000347,Estudiante 347,Ingeniería en Sistemas,Sonsonate,9.3
EST000348,Estudiante 348,Administración,Sonsonate,5.05
EST000349,Estudiante 349,Arquitectura,San Miguel,6.77
EST000350,Estudiante 350,Contaduría,Sonsonate,9.06
EST000351,Estudiante 351,Administración,San Salvador,8.49
EST000352,Estudiante 352,Ingeniería Industrial,San Salvador,8.43
EST000353,Estudiante 353,Ingeniería Industrial,Santa Ana,5.45
EST000354,Estudiante 354,Ingeniería en Sistemas,Santa Ana,7.2
EST000355,Estudiante 355,Ingeniería en Sistemas,San Salvador,7.84
EST000356,Estudiante 356,Ingeniería Industrial,San Miguel,7.85
EST000357,Estudiante 357,Contaduría,La Libertad,8.57
EST000358,Estudiante 358,Ingeniería en Sistemas,Sonsonate,7.9
EST000359,Estudiante 359,Contaduría,San Salvador,9.86
EST000360,Estudiante 360,Ingeniería en Sistemas,La Libertad,8.3
EST000361,Estudiante 361,Ingeniería en Sistemas,San Salvador,5.29
EST000362,Estudiante 362,Arquitectura,San Salvador,5.16
EST000363,Estudiante 363,Ingeniería Industrial,San Miguel,8.87
EST000364,Estudiante 364,Contaduría,San Salvador,8.11
EST000365,Estudiante 365,Administración,Santa Ana,8.01
EST000366,Estudiante 366,Contaduría,San Salvador,9.15
EST000367,Estudiante 367,Arquitectura,Sonsonate,8.74
EST000368,Estudiante 368,Ingeniería en Sistemas,Santa Ana,5.74
EST000369,Estudiante 369,Administración,Santa Ana,9.91
EST000370,Estudiante 370,Arquitectura,Sonsonate,9.51
EST000371,Estudiante 371,Ingeniería Industrial,Sonsonate,7.87
EST000372,Estudiante 372,Ingeniería Industrial,San Salvador,9.47
EST000373,Estudiante 373,Administración,Santa Ana,5.85
EST000374,Estudiante 374,Contaduría,La Libertad,9.56
EST000375,Estudiante 375,Arquitectura,Santa Ana,7.81
EST000376,Estudiante 376,Ingeniería Industrial,San Salvador,9.32
EST000377,Estudiante 377,Ingeniería Industrial,Sonsonate,9.32
EST000378,Estudiante 378,Contaduría,Santa Ana,8.15
EST000379,Estudiante 379,Administración,La Libertad,5.19
EST000380,Estudiante 380,Contaduría,Santa Ana,5.06
EST000381,Estudiante 381,Administración,San Miguel,7.89
EST000382,Estudiante 382,Arquitectura,San Miguel,6.49
EST000383,Estudiante 383,Arquitectura,Santa Ana,8.73
EST000384,Estudiante 384,Contaduría,San Miguel,8.44
EST000385,Estudiante 385,Ingeniería Industrial,La Libertad,9.75
EST000386,Estudiante 386,Ingeniería Industrial,San Miguel,7.92
EST000387,Estudiante 387,Ingeniería en Sistemas,San Salvador,5.15
EST000388,Estudiante 388,Ingeniería en Sistemas,San Miguel,8.74
EST000389,Estudiante 389,Arquitectura,Santa Ana,6.24
EST000390,Estudiante 390,Ingeniería en Sistemas,San Salvador,8.46
EST000391,Estudiante 391,Contaduría,San Miguel,7.84
EST000392,Estudiante 392,Ingeniería Industrial,La Libertad,5.42
EST000393,Estudiante 393,Contaduría,San Salvador,7.69
EST000394,Estudiante 394,Ingeniería en Sistemas,La Libertad,9.72
EST000395,Estudiante 395,Arquitectura,San Miguel,9.96
EST000396,Estudiante 396,Administración,San Salvador,7.99
EST000397,Estudiante 397,Contaduría,Santa Ana,7.88
EST000398,Estudiante 398,Ingeniería Industrial,La Libertad,7.75
EST000399,Estudiante 399,Ingeniería Industrial,Sonsonate,6.86
EST000400,Estudiante 400,Contaduría,Santa Ana,5.38
EST000401,Estudiante 401,Contaduría,La Libertad,5.21
EST000402,Estudiante 402,Ingeniería en Sistemas,San Miguel,7.46
EST000403,Estudiante 403,Ingeniería Industrial,Santa Ana,9.15
EST000404,Estudiante 404,Arquitectura,La Libertad,7.1
EST000405,Estudiante 405,Contaduría,San Salvador,8.3
EST000406,Estudiante 406,Arquitectura,Santa Ana,7.04
EST000407,Estudiante 407,Ingeniería Industrial,San Salvador,6.19
EST000408,Estudiante 408,Ingeniería en Sistemas,Sonsonate,5.17
EST000409,Estudiante 409,Ingeniería Industrial,Santa Ana,6.38
EST000410,Estudiante 410,Ingeniería Industrial,La Libertad,9.72
EST000411,Estudiante 411,Contaduría,Santa Ana,5.06
EST000412,Estudiante 412,Ingeniería en Sistemas,San Salvador,9.04
EST000413,Estudiante 413,Administración,San Miguel,6.03
EST000414,Estudiante 414,Contaduría,La Libertad,6.56
EST000415,Estudiante 415,Administración,Sonsonate,8.8
EST000416,Estudiante 416,Ingeniería Industrial,San Miguel,9.26
EST000417,Estudiante 417,Arquitectura,San Salvador,9.16
EST000418,Estudiante 418,Ingeniería Industrial,San Salvador,7.65
EST000419,Estudiante 419,Administración,Sonsonate,8.71
EST000420,Estudiante 420,Administración,Sonsonate,6.6
EST000421,Estudiante 421,Contaduría,Santa Ana,7.98
EST000422,Estudiante 422,Arquitectura,La Libertad,5.64
EST000423,Estudiante 423,Administración,Santa Ana,9.58
EST000424,Estudiante 424,Ingeniería Industrial,Sonsonate,5.84
EST000425,Estudiante 425,Contaduría,Santa Ana,8.84
EST000426,Estudiante 426,Ingeniería en Sistemas,Santa Ana,6.06
EST000427,Estudiante 427,Arquitectura,San Miguel,8.99
EST000428,Estudiante 428,Administración,La Libertad,5.49
EST000429,Estudiante 429,Contaduría,Sonsonate,6.18
EST000430,Estudiante 430,Administración,La Libertad,5.19
EST000431,Estudiante 431,Administración,San Miguel,8.91
EST000432,Estudiante 432,Arquitectura,San Miguel,9.21
EST000433,Estudiante 433,Ingeniería en Sistemas,Santa Ana,7.78
EST000434,Estudiante 434,Ingeniería en Sistemas,Santa Ana,7.89
EST000435,Estudiante 435,Contaduría,La Libertad,8.78
EST000436,Estudiante 436,Ingeniería Industrial,Santa Ana,6.87
EST000437,Estudiante 437,Contaduría,San Miguel,7.12
EST000438,Estudiante 438,Administración,San Miguel,5.3
EST000439,Estudiante 439,Arquitectura,San Salvador,8.73
EST000440,Estudiante 440,Ingeniería Industrial,La Libertad,8.41
EST000441,Estudiante 441,Ingeniería en Sistemas,San Salvador,5.03
